seed,rule,status,engineering_valid,late_window_mean_phi,late_window_mean_phi_availability,late_window_mean_phi_reason,late_window_mean_phi_count,late_window_mean_psi,late_window_mean_psi_availability,late_window_mean_psi_reason,late_window_mean_psi_count,follower_late_window_mean_phi,follower_late_window_mean_phi_availability,follower_late_window_mean_phi_reason,follower_late_window_mean_phi_count,follower_late_window_mean_psi,follower_late_window_mean_psi_availability,follower_late_window_mean_psi_reason,follower_late_window_mean_psi_count,absolute_late_phi_distance,absolute_late_phi_distance_availability,absolute_late_phi_distance_reason,absolute_late_phi_distance_count,follower_hit_step_mean_axis_error_deg,follower_hit_step_mean_axis_error_deg_availability,follower_hit_step_mean_axis_error_deg_reason,follower_hit_step_mean_axis_error_deg_count,follower_local_continuity_mean_axis_change_deg,follower_local_continuity_mean_axis_change_deg_availability,follower_local_continuity_mean_axis_change_deg_reason,follower_local_continuity_mean_axis_change_deg_count,follower_sensing_miss_rate,follower_sensing_miss_rate_availability,follower_sensing_miss_rate_reason,follower_sensing_miss_rate_count,cumulative_deliveries,cumulative_deliveries_availability,cumulative_deliveries_reason,cumulative_deliveries_count,completed_transporter_mean_path_efficiency,completed_transporter_mean_path_efficiency_availability,completed_transporter_mean_path_efficiency_reason,completed_transporter_mean_path_efficiency_count,completed_transporter_median_path_efficiency,completed_transporter_median_path_efficiency_availability,completed_transporter_median_path_efficiency_reason,completed_transporter_median_path_efficiency_count,active_pheromone_area_fraction,active_pheromone_area_fraction_availability,active_pheromone_area_fraction_reason,active_pheromone_area_fraction_count,main_channel_width_90,main_channel_width_90_availability,main_channel_width_90_reason,main_channel_width_90_count,final_forager_count,final_forager_count_availability,final_forager_count_reason,final_forager_count_count,final_transporter_count,final_transporter_count_availability,final_transporter_count_reason,final_transporter_count_count,final_follower_count,final_follower_count_availability,final_follower_count_reason,final_follower_count_count,first_food_discovery_time,first_food_discovery_time_availability,first_food_discovery_time_reason,first_food_discovery_time_count,first_food_discovery_time_observed,first_food_discovery_time_censoring_horizon,first_successful_delivery_time,first_successful_delivery_time_availability,first_successful_delivery_time_reason,first_successful_delivery_time_count,first_successful_delivery_time_observed,first_successful_delivery_time_censoring_horizon,first_pheromone_recruitment_time,first_pheromone_recruitment_time_availability,first_pheromone_recruitment_time_reason,first_pheromone_recruitment_time_count,first_pheromone_recruitment_time_observed,first_pheromone_recruitment_time_censoring_horizon
20260906,stored_cell_direction,planned,False,,unavailable,planned_not_run,0,,unavailable,planned_not_run,0,,unavailable,planned_not_run,0,,unavailable,planned_not_run,0,,unavailable,planned_not_run,0,,unavailable,planned_not_run,0,,unavailable,planned_not_run,0,,unavailable,planned_not_run,0,,unavailable,planned_not_run,0,,unavailable,planned_not_run,0,,unavailable,planned_not_run,0,,unavailable,planned_not_run,0,,unavailable,planned_not_run,0,,unavailable,planned_not_run,0,,unavailable,planned_not_run,0,,unavailable,planned_not_run,0,,unavailable,planned_not_run,0,,,,unavailable,planned_not_run,0,,,,unavailable,planned_not_run,0,,
20260906,local_weighted_pca_tangent,planned,False,,unavailable,planned_not_run,0,,unavailable,planned_not_run,0,,unavailable,planned_not_run,0,,unavailable,planned_not_run,0,,unavailable,planned_not_run,0,,unavailable,planned_not_run,0,,unavailable,planned_not_run,0,,unavailable,planned_not_run,0,,unavailable,planned_not_run,0,,unavailable,planned_not_run,0,,unavailable,planned_not_run,0,,unavailable,planned_not_run,0,,unavailable,planned_not_run,0,,unavailable,planned_not_run,0,,unavailable,planned_not_run,0,,unavailable,planned_not_run,0,,unavailable,planned_not_run,0,,,,unavailable,planned_not_run,0,,,,unavailable,planned_not_run,0,,
20260907,stored_cell_direction,planned,False,,unavailable,planned_not_run,0,,unavailable,planned_not_run,0,,unavailable,planned_not_run,0,,unavailable,planned_not_run,0,,unavailable,planned_not_run,0,,unavailable,planned_not_run,0,,unavailable,planned_not_run,0,,unavailable,planned_not_run,0,,unavailable,planned_not_run,0,,unavailable,planned_not_run,0,,unavailable,planned_not_run,0,,unavailable,planned_not_run,0,,unavailable,planned_not_run,0,,unavailable,planned_not_run,0,,unavailable,planned_not_run,0,,unavailable,planned_not_run,0,,unavailable,planned_not_run,0,,,,unavailable,planned_not_run,0,,,,unavailable,planned_not_run,0,,
20260907,local_weighted_pca_tangent,planned,False,,unavailable,planned_not_run,0,,unavailable,planned_not_run,0,,unavailable,planned_not_run,0,,unavailable,planned_not_run,0,,unavailable,planned_not_run,0,,unavailable,planned_not_run,0,,unavailable,planned_not_run,0,,unavailable,planned_not_run,0,,unavailable,planned_not_run,0,,unavailable,planned_not_run,0,,unavailable,planned_not_run,0,,unavailable,planned_not_run,0,,unavailable,planned_not_run,0,,unavailable,planned_not_run,0,,unavailable,planned_not_run,0,,unavailable,planned_not_run,0,,unavailable,planned_not_run,0,,,,unavailable,planned_not_run,0,,,,unavailable,planned_not_run,0,,
20260908,stored_cell_direction,planned,False,,unavailable,planned_not_run,0,,unavailable,planned_not_run,0,,unavailable,planned_not_run,0,,unavailable,planned_not_run,0,,unavailable,planned_not_run,0,,unavailable,planned_not_run,0,,unavailable,planned_not_run,0,,unavailable,planned_not_run,0,,unavailable,planned_not_run,0,,unavailable,planned_not_run,0,,unavailable,planned_not_run,0,,unavailable,planned_not_run,0,,unavailable,planned_not_run,0,,unavailable,planned_not_run,0,,unavailable,planned_not_run,0,,unavailable,planned_not_run,0,,unavailable,planned_not_run,0,,,,unavailable,planned_not_run,0,,,,unavailable,planned_not_run,0,,
20260908,local_weighted_pca_tangent,planned,False,,unavailable,planned_not_run,0,,unavailable,planned_not_run,0,,unavailable,planned_not_run,0,,unavailable,planned_not_run,0,,unavailable,planned_not_run,0,,unavailable,planned_not_run,0,,unavailable,planned_not_run,0,,unavailable,planned_not_run,0,,unavailable,planned_not_run,0,,unavailable,planned_not_run,0,,unavailable,planned_not_run,0,,unavailable,planned_not_run,0,,unavailable,planned_not_run,0,,unavailable,planned_not_run,0,,unavailable,planned_not_run,0,,unavailable,planned_not_run,0,,unavailable,planned_not_run,0,,,,unavailable,planned_not_run,0,,,,unavailable,planned_not_run,0,,
20260909,stored_cell_direction,planned,False,,unavailable,planned_not_run,0,,unavailable,planned_not_run,0,,unavailable,planned_not_run,0,,unavailable,planned_not_run,0,,unavailable,planned_not_run,0,,unavailable,planned_not_run,0,,unavailable,planned_not_run,0,,unavailable,planned_not_run,0,,unavailable,planned_not_run,0,,unavailable,planned_not_run,0,,unavailable,planned_not_run,0,,unavailable,planned_not_run,0,,unavailable,planned_not_run,0,,unavailable,planned_not_run,0,,unavailable,planned_not_run,0,,unavailable,planned_not_run,0,,unavailable,planned_not_run,0,,,,unavailable,planned_not_run,0,,,,unavailable,planned_not_run,0,,
20260909,local_weighted_pca_tangent,planned,False,,unavailable,planned_not_run,0,,unavailable,planned_not_run,0,,unavailable,planned_not_run,0,,unavailable,planned_not_run,0,,unavailable,planned_not_run,0,,unavailable,planned_not_run,0,,unavailable,planned_not_run,0,,unavailable,planned_not_run,0,,unavailable,planned_not_run,0,,unavailable,planned_not_run,0,,unavailable,planned_not_run,0,,unavailable,planned_not_run,0,,unavailable,planned_not_run,0,,unavailable,planned_not_run,0,,unavailable,planned_not_run,0,,unavailable,planned_not_run,0,,unavailable,planned_not_run,0,,,,unavailable,planned_not_run,0,,,,unavailable,planned_not_run,0,,
20260910,stored_cell_direction,planned,False,,unavailable,planned_not_run,0,,unavailable,planned_not_run,0,,unavailable,planned_not_run,0,,unavailable,planned_not_run,0,,unavailable,planned_not_run,0,,unavailable,planned_not_run,0,,unavailable,planned_not_run,0,,unavailable,planned_not_run,0,,unavailable,planned_not_run,0,,unavailable,planned_not_run,0,,unavailable,planned_not_run,0,,unavailable,planned_not_run,0,,unavailable,planned_not_run,0,,unavailable,planned_not_run,0,,unavailable,planned_not_run,0,,unavailable,planned_not_run,0,,unavailable,planned_not_run,0,,,,unavailable,planned_not_run,0,,,,unavailable,planned_not_run,0,,
20260910,local_weighted_pca_tangent,planned,False,,unavailable,planned_not_run,0,,unavailable,planned_not_run,0,,unavailable,planned_not_run,0,,unavailable,planned_not_run,0,,unavailable,planned_not_run,0,,unavailable,planned_not_run,0,,unavailable,planned_not_run,0,,unavailable,planned_not_run,0,,unavailable,planned_not_run,0,,unavailable,planned_not_run,0,,unavailable,planned_not_run,0,,unavailable,planned_not_run,0,,unavailable,planned_not_run,0,,unavailable,planned_not_run,0,,unavailable,planned_not_run,0,,unavailable,planned_not_run,0,,unavailable,planned_not_run,0,,,,unavailable,planned_not_run,0,,,,unavailable,planned_not_run,0,,
20260911,stored_cell_direction,planned,False,,unavailable,planned_not_run,0,,unavailable,planned_not_run,0,,unavailable,planned_not_run,0,,unavailable,planned_not_run,0,,unavailable,planned_not_run,0,,unavailable,planned_not_run,0,,unavailable,planned_not_run,0,,unavailable,planned_not_run,0,,unavailable,planned_not_run,0,,unavailable,planned_not_run,0,,unavailable,planned_not_run,0,,unavailable,planned_not_run,0,,unavailable,planned_not_run,0,,unavailable,planned_not_run,0,,unavailable,planned_not_run,0,,unavailable,planned_not_run,0,,unavailable,planned_not_run,0,,,,unavailable,planned_not_run,0,,,,unavailable,planned_not_run,0,,
20260911,local_weighted_pca_tangent,planned,False,,unavailable,planned_not_run,0,,unavailable,planned_not_run,0,,unavailable,planned_not_run,0,,unavailable,planned_not_run,0,,unavailable,planned_not_run,0,,unavailable,planned_not_run,0,,unavailable,planned_not_run,0,,unavailable,planned_not_run,0,,unavailable,planned_not_run,0,,unavailable,planned_not_run,0,,unavailable,planned_not_run,0,,unavailable,planned_not_run,0,,unavailable,planned_not_run,0,,unavailable,planned_not_run,0,,unavailable,planned_not_run,0,,unavailable,planned_not_run,0,,unavailable,planned_not_run,0,,,,unavailable,planned_not_run,0,,,,unavailable,planned_not_run,0,,
20260912,stored_cell_direction,planned,False,,unavailable,planned_not_run,0,,unavailable,planned_not_run,0,,unavailable,planned_not_run,0,,unavailable,planned_not_run,0,,unavailable,planned_not_run,0,,unavailable,planned_not_run,0,,unavailable,planned_not_run,0,,unavailable,planned_not_run,0,,unavailable,planned_not_run,0,,unavailable,planned_not_run,0,,unavailable,planned_not_run,0,,unavailable,planned_not_run,0,,unavailable,planned_not_run,0,,unavailable,planned_not_run,0,,unavailable,planned_not_run,0,,unavailable,planned_not_run,0,,unavailable,planned_not_run,0,,,,unavailable,planned_not_run,0,,,,unavailable,planned_not_run,0,,
20260912,local_weighted_pca_tangent,planned,False,,unavailable,planned_not_run,0,,unavailable,planned_not_run,0,,unavailable,planned_not_run,0,,unavailable,planned_not_run,0,,unavailable,planned_not_run,0,,unavailable,planned_not_run,0,,unavailable,planned_not_run,0,,unavailable,planned_not_run,0,,unavailable,planned_not_run,0,,unavailable,planned_not_run,0,,unavailable,planned_not_run,0,,unavailable,planned_not_run,0,,unavailable,planned_not_run,0,,unavailable,planned_not_run,0,,unavailable,planned_not_run,0,,unavailable,planned_not_run,0,,unavailable,planned_not_run,0,,,,unavailable,planned_not_run,0,,,,unavailable,planned_not_run,0,,
20260913,stored_cell_direction,planned,False,,unavailable,planned_not_run,0,,unavailable,planned_not_run,0,,unavailable,planned_not_run,0,,unavailable,planned_not_run,0,,unavailable,planned_not_run,0,,unavailable,planned_not_run,0,,unavailable,planned_not_run,0,,unavailable,planned_not_run,0,,unavailable,planned_not_run,0,,unavailable,planned_not_run,0,,unavailable,planned_not_run,0,,unavailable,planned_not_run,0,,unavailable,planned_not_run,0,,unavailable,planned_not_run,0,,unavailable,planned_not_run,0,,unavailable,planned_not_run,0,,unavailable,planned_not_run,0,,,,unavailable,planned_not_run,0,,,,unavailable,planned_not_run,0,,
20260913,local_weighted_pca_tangent,planned,False,,unavailable,planned_not_run,0,,unavailable,planned_not_run,0,,unavailable,planned_not_run,0,,unavailable,planned_not_run,0,,unavailable,planned_not_run,0,,unavailable,planned_not_run,0,,unavailable,planned_not_run,0,,unavailable,planned_not_run,0,,unavailable,planned_not_run,0,,unavailable,planned_not_run,0,,unavailable,planned_not_run,0,,unavailable,planned_not_run,0,,unavailable,planned_not_run,0,,unavailable,planned_not_run,0,,unavailable,planned_not_run,0,,unavailable,planned_not_run,0,,unavailable,planned_not_run,0,,,,unavailable,planned_not_run,0,,,,unavailable,planned_not_run,0,,
20260914,stored_cell_direction,planned,False,,unavailable,planned_not_run,0,,unavailable,planned_not_run,0,,unavailable,planned_not_run,0,,unavailable,planned_not_run,0,,unavailable,planned_not_run,0,,unavailable,planned_not_run,0,,unavailable,planned_not_run,0,,unavailable,planned_not_run,0,,unavailable,planned_not_run,0,,unavailable,planned_not_run,0,,unavailable,planned_not_run,0,,unavailable,planned_not_run,0,,unavailable,planned_not_run,0,,unavailable,planned_not_run,0,,unavailable,planned_not_run,0,,unavailable,planned_not_run,0,,unavailable,planned_not_run,0,,,,unavailable,planned_not_run,0,,,,unavailable,planned_not_run,0,,
20260914,local_weighted_pca_tangent,planned,False,,unavailable,planned_not_run,0,,unavailable,planned_not_run,0,,unavailable,planned_not_run,0,,unavailable,planned_not_run,0,,unavailable,planned_not_run,0,,unavailable,planned_not_run,0,,unavailable,planned_not_run,0,,unavailable,planned_not_run,0,,unavailable,planned_not_run,0,,unavailable,planned_not_run,0,,unavailable,planned_not_run,0,,unavailable,planned_not_run,0,,unavailable,planned_not_run,0,,unavailable,planned_not_run,0,,unavailable,planned_not_run,0,,unavailable,planned_not_run,0,,unavailable,planned_not_run,0,,,,unavailable,planned_not_run,0,,,,unavailable,planned_not_run,0,,
20260915,stored_cell_direction,planned,False,,unavailable,planned_not_run,0,,unavailable,planned_not_run,0,,unavailable,planned_not_run,0,,unavailable,planned_not_run,0,,unavailable,planned_not_run,0,,unavailable,planned_not_run,0,,unavailable,planned_not_run,0,,unavailable,planned_not_run,0,,unavailable,planned_not_run,0,,unavailable,planned_not_run,0,,unavailable,planned_not_run,0,,unavailable,planned_not_run,0,,unavailable,planned_not_run,0,,unavailable,planned_not_run,0,,unavailable,planned_not_run,0,,unavailable,planned_not_run,0,,unavailable,planned_not_run,0,,,,unavailable,planned_not_run,0,,,,unavailable,planned_not_run,0,,
20260915,local_weighted_pca_tangent,planned,False,,unavailable,planned_not_run,0,,unavailable,planned_not_run,0,,unavailable,planned_not_run,0,,unavailable,planned_not_run,0,,unavailable,planned_not_run,0,,unavailable,planned_not_run,0,,unavailable,planned_not_run,0,,unavailable,planned_not_run,0,,unavailable,planned_not_run,0,,unavailable,planned_not_run,0,,unavailable,planned_not_run,0,,unavailable,planned_not_run,0,,unavailable,planned_not_run,0,,unavailable,planned_not_run,0,,unavailable,planned_not_run,0,,unavailable,planned_not_run,0,,unavailable,planned_not_run,0,,,,unavailable,planned_not_run,0,,,,unavailable,planned_not_run,0,,
20260916,stored_cell_direction,planned,False,,unavailable,planned_not_run,0,,unavailable,planned_not_run,0,,unavailable,planned_not_run,0,,unavailable,planned_not_run,0,,unavailable,planned_not_run,0,,unavailable,planned_not_run,0,,unavailable,planned_not_run,0,,unavailable,planned_not_run,0,,unavailable,planned_not_run,0,,unavailable,planned_not_run,0,,unavailable,planned_not_run,0,,unavailable,planned_not_run,0,,unavailable,planned_not_run,0,,unavailable,planned_not_run,0,,unavailable,planned_not_run,0,,unavailable,planned_not_run,0,,unavailable,planned_not_run,0,,,,unavailable,planned_not_run,0,,,,unavailable,planned_not_run,0,,
20260916,local_weighted_pca_tangent,planned,False,,unavailable,planned_not_run,0,,unavailable,planned_not_run,0,,unavailable,planned_not_run,0,,unavailable,planned_not_run,0,,unavailable,planned_not_run,0,,unavailable,planned_not_run,0,,unavailable,planned_not_run,0,,unavailable,planned_not_run,0,,unavailable,planned_not_run,0,,unavailable,planned_not_run,0,,unavailable,planned_not_run,0,,unavailable,planned_not_run,0,,unavailable,planned_not_run,0,,unavailable,planned_not_run,0,,unavailable,planned_not_run,0,,unavailable,planned_not_run,0,,unavailable,planned_not_run,0,,,,unavailable,planned_not_run,0,,,,unavailable,planned_not_run,0,,
20260917,stored_cell_direction,planned,False,,unavailable,planned_not_run,0,,unavailable,planned_not_run,0,,unavailable,planned_not_run,0,,unavailable,planned_not_run,0,,unavailable,planned_not_run,0,,unavailable,planned_not_run,0,,unavailable,planned_not_run,0,,unavailable,planned_not_run,0,,unavailable,planned_not_run,0,,unavailable,planned_not_run,0,,unavailable,planned_not_run,0,,unavailable,planned_not_run,0,,unavailable,planned_not_run,0,,unavailable,planned_not_run,0,,unavailable,planned_not_run,0,,unavailable,planned_not_run,0,,unavailable,planned_not_run,0,,,,unavailable,planned_not_run,0,,,,unavailable,planned_not_run,0,,
20260917,local_weighted_pca_tangent,planned,False,,unavailable,planned_not_run,0,,unavailable,planned_not_run,0,,unavailable,planned_not_run,0,,unavailable,planned_not_run,0,,unavailable,planned_not_run,0,,unavailable,planned_not_run,0,,unavailable,planned_not_run,0,,unavailable,planned_not_run,0,,unavailable,planned_not_run,0,,unavailable,planned_not_run,0,,unavailable,planned_not_run,0,,unavailable,planned_not_run,0,,unavailable,planned_not_run,0,,unavailable,planned_not_run,0,,unavailable,planned_not_run,0,,unavailable,planned_not_run,0,,unavailable,planned_not_run,0,,,,unavailable,planned_not_run,0,,,,unavailable,planned_not_run,0,,
20260918,stored_cell_direction,planned,False,,unavailable,planned_not_run,0,,unavailable,planned_not_run,0,,unavailable,planned_not_run,0,,unavailable,planned_not_run,0,,unavailable,planned_not_run,0,,unavailable,planned_not_run,0,,unavailable,planned_not_run,0,,unavailable,planned_not_run,0,,unavailable,planned_not_run,0,,unavailable,planned_not_run,0,,unavailable,planned_not_run,0,,unavailable,planned_not_run,0,,unavailable,planned_not_run,0,,unavailable,planned_not_run,0,,unavailable,planned_not_run,0,,unavailable,planned_not_run,0,,unavailable,planned_not_run,0,,,,unavailable,planned_not_run,0,,,,unavailable,planned_not_run,0,,
20260918,local_weighted_pca_tangent,planned,False,,unavailable,planned_not_run,0,,unavailable,planned_not_run,0,,unavailable,planned_not_run,0,,unavailable,planned_not_run,0,,unavailable,planned_not_run,0,,unavailable,planned_not_run,0,,unavailable,planned_not_run,0,,unavailable,planned_not_run,0,,unavailable,planned_not_run,0,,unavailable,planned_not_run,0,,unavailable,planned_not_run,0,,unavailable,planned_not_run,0,,unavailable,planned_not_run,0,,unavailable,planned_not_run,0,,unavailable,planned_not_run,0,,unavailable,planned_not_run,0,,unavailable,planned_not_run,0,,,,unavailable,planned_not_run,0,,,,unavailable,planned_not_run,0,,
20260919,stored_cell_direction,planned,False,,unavailable,planned_not_run,0,,unavailable,planned_not_run,0,,unavailable,planned_not_run,0,,unavailable,planned_not_run,0,,unavailable,planned_not_run,0,,unavailable,planned_not_run,0,,unavailable,planned_not_run,0,,unavailable,planned_not_run,0,,unavailable,planned_not_run,0,,unavailable,planned_not_run,0,,unavailable,planned_not_run,0,,unavailable,planned_not_run,0,,unavailable,planned_not_run,0,,unavailable,planned_not_run,0,,unavailable,planned_not_run,0,,unavailable,planned_not_run,0,,unavailable,planned_not_run,0,,,,unavailable,planned_not_run,0,,,,unavailable,planned_not_run,0,,
