time,role,sample_count,axis_angle_rad,mean_axial_error_rad,median_axial_error_rad,p90_axial_error_rad,mean_axial_error_deg,median_axial_error_deg,p90_axial_error_deg,mean_signed_axis_velocity,mean_abs_axis_velocity,mean_signed_perpendicular_velocity,mean_abs_perpendicular_velocity,sample_too_small,interpretation_warning
0,forager,100,0.7853981633974483,0.791464571523948,0.7627263227985319,1.3999479081072048,45.3475795824523,43.70099921988874,80.21110667271124,0.04804005051201139,0.38079989112056756,-0.05180753734313782,0.3859264511000598,False,
0,transporter,0,0.7853981633974483,,,,,,,,,,,True,insufficient sample; do not over-interpret
0,follower,0,0.7853981633974483,,,,,,,,,,,True,insufficient sample; do not over-interpret
1,forager,100,0.7853981633974483,0.780915184975424,0.7419227963036266,1.4028150186249382,44.74314425676979,42.50904495274207,80.37538000477493,0.03432505220699646,0.3867680439381548,-0.08168821040630775,0.382477313445726,False,
1,transporter,0,0.7853981633974483,,,,,,,,,,,True,insufficient sample; do not over-interpret
1,follower,0,0.7853981633974483,,,,,,,,,,,True,insufficient sample; do not over-interpret
2,forager,100,0.7853981633974483,0.771079944595759,0.7404654802249628,1.4319838273528516,44.179626492518345,42.42554689201809,82.04662963830873,0.06051823937082793,0.3851487041225951,-0.05583248011737155,0.37398382892507664,False,
2,transporter,0,0.7853981633974483,,,,,,,,,,,True,insufficient sample; do not over-interpret
2,follower,0,0.7853981633974483,,,,,,,,,,,True,insufficient sample; do not over-interpret
3,forager,100,0.7853981633974483,0.8107423472483726,0.7801396940366488,1.4886697463291376,46.45211476986158,44.698711898927336,85.29449355347046,0.06668544555993511,0.3698134517234914,-0.08366717356408189,0.3885908860936921,False,
3,transporter,0,0.7853981633974483,,,,,,,,,,,True,insufficient sample; do not over-interpret
3,follower,0,0.7853981633974483,,,,,,,,,,,True,insufficient sample; do not over-interpret
4,forager,100,0.7853981633974483,0.7122417551464314,0.7200396488673746,1.294772216092822,40.8084465628807,41.25523296218231,74.18498341291931,0.04468254545967575,0.4118356295411077,-0.03451374946859044,0.3557205742696382,False,
4,transporter,0,0.7853981633974483,,,,,,,,,,,True,insufficient sample; do not over-interpret
4,follower,0,0.7853981633974483,,,,,,,,,,,True,insufficient sample; do not over-interpret
